tema,indicador,anio,sexo,disc,entidad,rango_edad,decil,num,den,casos,fuente,universo,encuesta
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,1,0.0,339.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,10,207.0,423.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,2,0.0,337.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,3,230.0,663.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,4,0.0,139.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,5,0.0,424.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,6,53.0,694.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,7,429.0,429.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,8,270.0,479.0,3.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,9,644.0,823.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,1,0.0,389.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
