anio,mes,inflacion_anual
2008,1,3.7
2008,2,3.72
2008,3,4.25
2008,4,4.55
2008,5,4.95
2008,6,5.26
2008,7,5.39
2008,8,5.57
2008,9,5.47
2008,10,5.78
2008,11,6.23
2008,12,6.53
2009,1,6.28
2009,2,6.2
2009,3,6.04
2009,4,6.17
2009,5,5.98
2009,6,5.74
2009,7,5.44
2009,8,5.08
2009,9,4.89
2009,10,4.5
2009,11,3.86
2009,12,3.57
2010,1,4.46
2010,2,4.83
2010,3,4.97
2010,4,4.27
2010,5,3.92
2010,6,3.69
2010,7,3.64
2010,8,3.68
2010,9,3.7
2010,10,4.02
2010,11,4.32
2010,12,4.4
2011,1,3.78
2011,2,3.57
2011,3,3.04
2011,4,3.36
2011,5,3.25
2011,6,3.28
2011,7,3.55
2011,8,3.42
2011,9,3.14
2011,10,3.2
2011,11,3.48
2011,12,3.82
2012,1,4.05
2012,2,3.87
2012,3,3.73
2012,4,3.41
2012,5,3.85
2012,6,4.34
2012,7,4.42
2012,8,4.57
2012,9,4.77
2012,10,4.6
2012,11,4.18
2012,12,3.57
2013,1,3.25
2013,2,3.55
2013,3,4.25
2013,4,4.65
2013,5,4.63
2013,6,4.09
2013,7,3.47
2013,8,3.46
2013,9,3.39
2013,10,3.36
2013,11,3.62
2013,12,3.97
2014,1,4.48
2014,2,4.23
2014,3,3.76
2014,4,3.5
2014,5,3.51
2014,6,3.75
2014,7,4.07
2014,8,4.15
2014,9,4.22
2014,10,4.3
2014,11,4.17
2014,12,4.08
2015,1,3.07
2015,2,3.0
2015,3,3.14
2015,4,3.06
2015,5,2.88
2015,6,2.87
2015,7,2.74
2015,8,2.59
2015,9,2.52
2015,10,2.48
2015,11,2.21
2015,12,2.13
2016,1,2.61
2016,2,2.87
2016,3,2.6
2016,4,2.54
2016,5,2.6
2016,6,2.54
2016,7,2.65
2016,8,2.73
2016,9,2.97
2016,10,3.06
2016,11,3.31
2016,12,3.36
2017,1,4.72
2017,2,4.86
2017,3,5.35
2017,4,5.82
2017,5,6.16
2017,6,6.31
2017,7,6.44
2017,8,6.66
2017,9,6.35
2017,10,6.37
2017,11,6.63
2017,12,6.77
2018,1,5.55
2018,2,5.34
2018,3,5.04
2018,4,4.55
2018,5,4.51
2018,6,4.65
2018,7,4.81
2018,8,4.9
2018,9,5.02
2018,10,4.9
2018,11,4.72
2018,12,4.83
2019,1,4.37
2019,2,3.94
2019,3,4.0
2019,4,4.41
2019,5,4.28
2019,6,3.95
2019,7,3.78
2019,8,3.16
2019,9,3.0
2019,10,3.02
2019,11,2.97
2019,12,2.83
2020,1,3.24
2020,2,3.7
2020,3,3.25
2020,4,2.15
2020,5,2.84
2020,6,3.33
2020,7,3.62
2020,8,4.05
2020,9,4.01
2020,10,4.09
2020,11,3.33
2020,12,3.15
2021,1,3.54
2021,2,3.76
2021,3,4.67
2021,4,6.08
2021,5,5.89
2021,6,5.88
2021,7,5.81
2021,8,5.59
2021,9,6.0
2021,10,6.24
2021,11,7.37
2021,12,7.36
2022,1,7.07
2022,2,7.28
2022,3,7.45
2022,4,7.68
2022,5,7.65
2022,6,7.99
2022,7,8.15
2022,8,8.7
2022,9,8.7
2022,10,8.41
2022,11,7.8
2022,12,7.82
2023,1,7.91
2023,2,7.62
2023,3,6.85
2023,4,6.25
2023,5,5.84
2023,6,5.06
2023,7,4.79
2023,8,4.64
2023,9,4.45
2023,10,4.26
2023,11,4.32
2023,12,4.66
2024,1,4.88
2024,2,4.4
2024,3,4.42
2024,4,4.65
2024,5,4.69
2024,6,4.98
2024,7,5.57
2024,8,4.99
2024,9,4.58
2024,10,4.76
2024,11,4.55
2024,12,4.21
2025,1,3.59
2025,2,3.77
2025,3,3.8
2025,4,3.93
2025,5,4.42
2025,6,4.32
2025,7,3.51
2025,8,3.57
2025,9,3.76
2025,10,3.57
2025,11,3.8
2025,12,3.69
2026,1,3.79
2026,2,4.02
2026,3,4.59
2026,4,4.45
2026,5,3.94
2026,6,3.37
2026,7,3.12
