tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,ee,fuente,universo,encuesta
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Aguascalientes,18-29,1505.0,2320.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Aguascalientes,30-44,0.0,1131.0,5.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Aguascalientes,45-59,168.0,607.0,3.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Aguascalientes,60+,2199.0,6556.0,26.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California,18-29,968.0,968.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California,30-44,0.0,6967.0,7.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California,45-59,806.0,4180.0,5.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California,60+,2997.0,31913.0,41.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California Sur,18-29,149.0,766.0,2.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California Sur,30-44,259.0,639.0,3.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California Sur,45-59,680.0,2134.0,8.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Baja California Sur,60+,1354.0,8225.0,39.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Campeche,18-29,1529.0,1529.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Campeche,30-44,206.0,1133.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Campeche,45-59,1316.0,2911.0,10.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Campeche,60+,3576.0,8872.0,42.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chiapas,18-29,8219.0,8432.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chiapas,30-44,1641.0,2573.0,2.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chiapas,45-59,3664.0,14751.0,8.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chiapas,60+,16249.0,27853.0,34.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chihuahua,18-29,5931.0,6446.0,3.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chihuahua,30-44,0.0,2658.0,2.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chihuahua,45-59,1481.0,5485.0,5.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Chihuahua,60+,1365.0,26342.0,30.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Ciudad de México,18-29,1805.0,1805.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Ciudad de México,45-59,4187.0,12264.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Ciudad de México,60+,5580.0,71771.0,37.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Coahuila,18-29,901.0,1444.0,3.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Coahuila,30-44,4047.0,5029.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Coahuila,60+,3277.0,12890.0,20.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Colima,18-29,302.0,444.0,3.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Colima,30-44,147.0,1171.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Colima,45-59,1117.0,2462.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Colima,60+,1811.0,4924.0,23.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,18-29,170.0,170.0,1.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,30-44,332.0,2129.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,45-59,0.0,3095.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Durango,60+,600.0,10468.0,27.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,18-29,568.0,2810.0,9.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,30-44,747.0,3305.0,14.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,45-59,2140.0,7845.0,11.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guanajuato,60+,9673.0,29151.0,60.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,18-29,3067.0,6854.0,4.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,30-44,1869.0,3159.0,5.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,45-59,1144.0,9259.0,6.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Guerrero,60+,19880.0,39517.0,48.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Hidalgo,18-29,3979.0,4605.0,10.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
educacion,No sabe leer ni escribir,2017,Hombres,Con discapacidad,Hidalgo,30-44,468.0,3097.0,8.0,,ENADIS (INEGI),Personas de 18 años o más,enadis
