tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,ee,fuente,universo,encuesta
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Aguascalientes,18-29,9402.0,11233.0,60.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Aguascalientes,30-44,8278.0,14031.0,89.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Aguascalientes,45-59,12933.0,22565.0,137.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Aguascalientes,60+,10354.0,33380.0,230.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California,18-29,22759.0,25864.0,48.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California,30-44,10939.0,20555.0,46.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California,45-59,21703.0,50529.0,117.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California,60+,13520.0,78390.0,189.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California Sur,18-29,2485.0,4173.0,33.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California Sur,30-44,1895.0,3089.0,39.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California Sur,45-59,3898.0,7840.0,82.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Baja California Sur,60+,2679.0,14161.0,141.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Campeche,18-29,3361.0,4802.0,39.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
autonomia,Violencia total en los últimos 12 meses,2021,Mujeres,Con discapacidad,Campeche,30-44,3241.0,5583.0,62.0,,ENDIREH (INEGI),Mujeres de 15 años o más,endireh
