tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,ee,fuente,universo,encuesta
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,18-29,2907.0,4750.0,33.0,0.0958735499084735,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,30-44,3828.0,5606.0,42.0,0.0716309896449504,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,45-59,7394.0,10516.0,68.0,0.0549486624949263,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Aguascalientes,60+,6541.0,19847.0,151.0,0.0407261288794007,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,18-29,5034.0,9249.0,33.0,0.1064501005802937,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,30-44,10387.0,16548.0,50.0,0.0768454674568264,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,45-59,14873.0,27529.0,105.0,0.0575834706181788,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California,60+,9067.0,37554.0,169.0,0.0493503786010006,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,18-29,1380.0,2198.0,21.0,0.0175469730843064,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,30-44,1975.0,2790.0,38.0,0.0659465899651993,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,45-59,3341.0,5575.0,63.0,0.062221442179884,ENIGH (INEGI),Personas de 18 años o más,enigh
trabajo,Participación en el trabajo remunerado,2020,Hombres,Con discapacidad,Baja California Sur,60+,2520.0,10986.0,128.0,0.0364686259707392,ENIGH (INEGI),Personas de 18 años o más,enigh
