tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,fuente,universo,encuesta
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Ver,1603.0,3461.0,208.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Ver,2035.0,5243.0,322.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Ver,2621.0,6333.0,459.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Aguascalientes,60+,Ver,4426.0,13270.0,995.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California,18-29,Ver,3727.0,8010.0,170.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California,30-44,Ver,4910.0,9875.0,205.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California,45-59,Ver,6356.0,15222.0,352.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California,60+,Ver,12799.0,29937.0,653.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Ver,486.0,1233.0,71.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Ver,891.0,1996.0,121.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Ver,1610.0,3105.0,190.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Baja California Sur,60+,Ver,2725.0,6334.0,415.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Campeche,18-29,Ver,878.0,2019.0,169.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Campeche,30-44,Ver,1048.0,2332.0,231.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Campeche,45-59,Ver,2138.0,4824.0,419.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Campeche,60+,Ver,5100.0,11431.0,1095.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chiapas,18-29,Ver,2915.0,8941.0,1932.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chiapas,30-44,Ver,3944.0,11129.0,2363.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chiapas,45-59,Ver,9100.0,17642.0,3450.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chiapas,60+,Ver,25124.0,49681.0,10325.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chihuahua,18-29,Ver,2995.0,6278.0,476.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chihuahua,30-44,Ver,3204.0,7379.0,701.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chihuahua,45-59,Ver,6027.0,15419.0,1353.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Chihuahua,60+,Ver,12434.0,32345.0,4275.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Ciudad de México,18-29,Ver,10002.0,18282.0,547.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
distribucion,Distribución por dominio de dificultad,2020,Hombres,Con discapacidad,Ciudad de México,30-44,Ver,10417.0,22825.0,718.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más con discapacidad,censo
