tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Bañarse o vestirse,0.0,355.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Brazos o manos,0.0,413.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Caminar,257.0,1430.0,8.0,0.0110225146872025,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Hablar o comunicarse,0.0,678.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Mental,443.0,893.0,7.0,0.0251877838156583,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Oír,79.0,315.0,3.0,0.2515898211136306,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Recordar o concentrarse,437.0,1680.0,11.0,0.1167172451190262,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Ver,824.0,1689.0,11.0,0.1993550582479259,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Bañarse o vestirse,355.0,480.0,4.0,0.0238700480917668,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Brazos o manos,543.0,932.0,7.0,0.0103506373029979,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Caminar,564.0,1901.0,15.0,0.0357401711915671,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Hablar o comunicarse,181.0,297.0,3.0,0.0123116688773254,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Mental,217.0,494.0,7.0,0.1179686626276314,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Oír,181.0,490.0,4.0,0.3732856836895172,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Recordar o concentrarse,191.0,710.0,7.0,0.2743907980287422,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Ver,612.0,2107.0,13.0,0.1406754163896221,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Bañarse o vestirse,0.0,498.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Brazos o manos,188.0,1047.0,7.0,0.1858282197677315,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Caminar,1734.0,4955.0,33.0,0.0840931879979634,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Hablar o comunicarse,0.0,573.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
