tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Bañarse o vestirse,190.0,774.0,5.0,0.0117347381634383,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Brazos o manos,196.0,1125.0,7.0,0.0031011531388224,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Caminar,648.0,1897.0,13.0,0.1541563683586923,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Hablar o comunicarse,385.0,1097.0,7.0,0.1890006431422446,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Mental,443.0,1282.0,9.0,0.2218057421646658,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Oír,125.0,285.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Recordar o concentrarse,190.0,1135.0,8.0,0.0016621252166516,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,18-29,Ver,386.0,1513.0,11.0,0.1462088172256893,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Bañarse o vestirse,240.0,1170.0,8.0,0.1659304364230105,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Brazos o manos,0.0,924.0,8.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Caminar,310.0,3097.0,24.0,0.0665211282730748,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Hablar o comunicarse,0.0,1193.0,10.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Mental,61.0,787.0,6.0,0.0805906253112311,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Oír,61.0,524.0,6.0,0.1056055074397333,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Recordar o concentrarse,0.0,715.0,5.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,30-44,Ver,224.0,2566.0,16.0,0.0081262787962413,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Bañarse o vestirse,156.0,1040.0,7.0,0.0059824385501162,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Brazos o manos,0.0,2212.0,14.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Caminar,569.0,6086.0,39.0,0.0566780618879069,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Mental,170.0,765.0,6.0,0.1239185407026814,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Oír,0.0,1069.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Recordar o concentrarse,170.0,1763.0,12.0,0.0559433823100061,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,45-59,Ver,603.0,5388.0,34.0,0.0522598526051258,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,60+,Bañarse o vestirse,556.0,4258.0,30.0,0.0572944557821879,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,60+,Brazos o manos,154.0,4521.0,35.0,0.0341668178620115,ENIGH (INEGI),Personas de 18 años o más,enigh
gastos,Su hogar gasta en aparatos o cuidados por discapacidad,2022,Hombres,Con discapacidad,Aguascalientes,60+,Caminar,1097.0,11973.0,91.0,0.0345738142089043,ENIGH (INEGI),Personas de 18 años o más,enigh
