tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Bañarse o vestirse,0.0,355.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Brazos o manos,0.0,413.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Caminar,171.0,1430.0,8.0,0.1220788469124004,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Hablar o comunicarse,0.0,678.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Mental,0.0,893.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Oír,80.0,315.0,3.0,0.2531620055429579,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Recordar o concentrarse,171.0,1680.0,11.0,0.1033399134119505,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Ver,455.0,1689.0,11.0,0.1420297735425994,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Bañarse o vestirse,183.0,480.0,4.0,0.37270349552376,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Brazos o manos,317.0,932.0,7.0,0.2066928026648662,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Caminar,744.0,1901.0,15.0,0.163112620508251,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Hablar o comunicarse,0.0,297.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Mental,0.0,494.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Oír,254.0,490.0,4.0,0.3946301996748181,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Recordar o concentrarse,280.0,710.0,7.0,0.2973053383511769,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Ver,1481.0,2107.0,13.0,0.1297512623616913,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Bañarse o vestirse,64.0,498.0,4.0,0.1269698901356864,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Brazos o manos,738.0,1047.0,7.0,0.1994569096354132,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Caminar,3805.0,4955.0,33.0,0.0732392064156838,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Hablar o comunicarse,0.0,573.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Mental,1022.0,1335.0,9.0,0.1516553199006494,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Oír,1761.0,2194.0,12.0,0.089110151310515,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Recordar o concentrarse,1248.0,1621.0,9.0,0.121809399789673,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Ver,3479.0,3717.0,26.0,0.0278048452378673,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Bañarse o vestirse,2496.0,3804.0,29.0,0.0802408412363672,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Brazos o manos,2763.0,3911.0,28.0,0.0958774538826439,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Caminar,9447.0,12200.0,96.0,0.0444379515642907,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Hablar o comunicarse,1069.0,1375.0,10.0,0.1457573828397639,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Mental,941.0,1399.0,9.0,0.1631192185902839,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Oír,4593.0,5533.0,43.0,0.0610960708327499,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Recordar o concentrarse,2268.0,2522.0,18.0,0.0326117488258141,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Aguascalientes,60+,Ver,6240.0,7082.0,52.0,0.0533549924410417,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Bañarse o vestirse,0.0,1454.0,6.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Brazos o manos,0.0,1516.0,6.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Caminar,0.0,1621.0,8.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Hablar o comunicarse,0.0,1916.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Mental,0.0,3447.0,12.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Oír,0.0,33.0,1.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Recordar o concentrarse,44.0,1667.0,8.0,0.0006672720862553,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,18-29,Ver,1330.0,3128.0,10.0,0.0223635086961275,ENIGH (INEGI),Personas de 18 años o más,enigh
hogar,Es jefa o jefe del hogar,2020,Hombres,Con discapacidad,Baja California,30-44,Bañarse o vestirse,0.0,1723.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
