tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Bañarse o vestirse,0.0,355.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Brazos o manos,73.0,413.0,3.0,0.1801792822845886,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Caminar,647.0,1430.0,8.0,0.2072734522185688,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Hablar o comunicarse,397.0,678.0,4.0,0.0030564474726116,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Mental,234.0,893.0,7.0,0.0767943480113107,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Oír,79.0,315.0,3.0,0.2515898211136306,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Recordar o concentrarse,508.0,1680.0,11.0,0.1398984975965277,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Ver,140.0,1689.0,11.0,0.0472022431837971,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Bañarse o vestirse,70.0,480.0,4.0,0.1413155653345917,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Brazos o manos,0.0,932.0,7.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Caminar,280.0,1901.0,15.0,0.1307913905186835,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Hablar o comunicarse,61.0,297.0,3.0,0.2012379689147365,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Mental,60.0,494.0,7.0,0.1203714739680383,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Oír,0.0,490.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Recordar o concentrarse,121.0,710.0,7.0,0.1056156523695197,ENIGH (INEGI),Personas de 18 años o más,enigh
ingreso,Recibe la beca de discapacidad,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Ver,0.0,2107.0,13.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
