tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Bañarse o vestirse,0.0,355.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Brazos o manos,73.0,413.0,3.0,0.1801792822845886,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Caminar,834.0,1430.0,8.0,0.2034411242082046,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Hablar o comunicarse,397.0,678.0,4.0,0.0030564474726116,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Mental,393.0,893.0,7.0,0.2607738905824955,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Oír,235.0,315.0,3.0,0.2531620055429579,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Recordar o concentrarse,986.0,1680.0,11.0,0.1869752285153796,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,18-29,Ver,988.0,1689.0,11.0,0.1442021486081971,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Bañarse o vestirse,355.0,480.0,4.0,0.0238700480917668,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Brazos o manos,543.0,932.0,7.0,0.0103506373029979,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Caminar,893.0,1901.0,15.0,0.1669586047395589,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Hablar o comunicarse,242.0,297.0,3.0,0.1889263000374111,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Mental,120.0,494.0,7.0,0.1501750796461301,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Oír,435.0,490.0,4.0,0.1152285163075503,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Recordar o concentrarse,312.0,710.0,7.0,0.2978413413676887,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,30-44,Ver,1426.0,2107.0,13.0,0.0872013796533742,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Bañarse o vestirse,440.0,498.0,4.0,0.117872778747213,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Brazos o manos,261.0,1047.0,7.0,0.1994167597248684,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Caminar,2529.0,4955.0,33.0,0.0973601688139246,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Hablar o comunicarse,371.0,573.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Mental,1012.0,1335.0,9.0,0.1553965795910107,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Oír,1358.0,2194.0,12.0,0.1418656884832912,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Recordar o concentrarse,837.0,1621.0,9.0,0.1536656713689175,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,45-59,Ver,1633.0,3717.0,26.0,0.1020731437996189,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Bañarse o vestirse,1446.0,3804.0,29.0,0.084260148895437,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Brazos o manos,1391.0,3911.0,28.0,0.1050385886075185,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Caminar,5918.0,12200.0,96.0,0.0541048047129061,ENIGH (INEGI),Personas de 18 años o más,enigh
tecnologia,Hogar con conexión a internet,2020,Hombres,Con discapacidad,Aguascalientes,60+,Hablar o comunicarse,916.0,1375.0,10.0,0.1502848613173431,ENIGH (INEGI),Personas de 18 años o más,enigh
